(LabeledPoint(326.0, (9,[0,1,2,3,4,5,6,7,8],[0.23,2.0,4.0,61.5,55.0,3.95,3.98,2.43,3.0])), 514.5075091549228)
(LabeledPoint(342.0, (9,[0,1,2,3,4,5,6,7,8],[0.22,3.0,3.0,60.4,61.0,3.88,3.84,2.33,4.0])), 405.4874285714286)
(LabeledPoint(345.0, (9,[0,1,2,3,4,5,6,7,8],[0.32,2.0,1.0,60.9,58.0,4.38,4.42,2.68,4.0])), 846.0461538461537)
(LabeledPoint(351.0, (9,[0,1,2,3,4,5,6,7,8],[0.3,7.0,3.0,63.4,54.0,4.23,4.29,2.7,2.0])), 394.25800000000004)
(LabeledPoint(351.0, (9,[0,1,2,3,4,5,6,7,8],[0.3,6.0,4.0,63.3,56.0,4.26,4.3,2.71,2.0])), 420.3540144927537)
(LabeledPoint(352.0, (9,[0,1,2,3,4,5,6,7,8],[0.23,2.0,6.0,63.8,55.0,3.85,3.92,2.48,5.0])), 429.6318843573824)
(LabeledPoint(353.0, (9,[0,1,2,3,4,5,6,7,8],[0.31,7.0,3.0,59.4,62.0,4.39,4.43,2.62,5.0])), 429.85)
(LabeledPoint(357.0, (9,[0,1,2,3,4,5,6,7,8],[0.3,7.0,6.0,62.2,57.0,4.28,4.3,2.67,5.0])), 387.63333333333327)
(LabeledPoint(402.0, (9,[0,1,2,3,4,5,6,7,8],[0.23,3.0,5.0,60.0,57.0,4.0,4.03,2.41,5.0])), 441.5937476799869)
(LabeledPoint(402.0, (9,[0,1,2,3,4,5,6,7,8],[0.23,3.0,5.0,58.2,59.0,4.06,4.08,2.37,2.0])), 419.97558730158727)
(LabeledPoint(403.0, (9,[0,1,2,3,4,5,6,7,8],[0.33,6.0,4.0,61.2,56.0,4.49,4.5,2.75,3.0])), 459.26630591630584)
(LabeledPoint(403.0, (9,[0,1,2,3,4,5,6,7,8],[0.26,1.0,6.0,65.2,56.0,3.99,4.02,2.61,2.0])), 470.9242857142857)
(LabeledPoint(403.0, (9,[0,1,2,3,4,5,6,7,8],[0.26,1.0,5.0,58.4,63.0,4.19,4.24,2.46,2.0])), 368.6260952380952)
(LabeledPoint(405.0, (9,[0,1,2,3,4,5,6,7,8],[0.3,6.0,3.0,63.2,55.0,4.25,4.29,2.7,2.0])), 419.7673408826946)
(LabeledPoint(552.0, (9,[0,1,2,3,4,5,6,7,8],[0.35,6.0,5.0,60.9,57.0,4.54,4.59,2.78,3.0])), 640.013586080586)
(LabeledPoint(552.0, (9,[0,1,2,3,4,5,6,7,8],[0.3,1.0,3.0,62.5,57.0,4.29,4.32,2.69,3.0])), 577.5539596989063)
(LabeledPoint(552.0, (9,[0,1,2,3,4,5,6,7,8],[0.3,1.0,3.0,62.1,56.0,4.3,4.33,2.68,3.0])), 567.4243320821153)
(LabeledPoint(553.0, (9,[0,1,2,3,4,5,6,7,8],[0.31,4.0,3.0,61.8,58.0,4.35,4.32,2.68,4.0])), 612.6049498973242)
(LabeledPoint(553.0, (9,[0,1,2,3,4,5,6,7,8],[0.24,1.0,7.0,61.5,60.0,3.97,4.0,2.45,5.0])), 529.1579887206659)
(LabeledPoint(554.0, (9,[0,1,2,3,4,5,6,7,8],[0.32,6.0,3.0,62.9,58.0,4.35,4.33,2.73,4.0])), 529.7293999100315)
(LabeledPoint(2757.0, (9,[0,1,2,3,4,5,6,7,8],[0.7,4.0,6.0,61.6,56.0,5.7,5.67,3.5,3.0])), 2571.5633333333335)
(LabeledPoint(2759.0, (9,[0,1,2,3,4,5,6,7,8],[0.7,3.0,5.0,59.4,62.0,5.71,5.76,3.4,2.0])), 2690.43)
(LabeledPoint(2759.0, (9,[0,1,2,3,4,5,6,7,8],[0.96,3.0,4.0,66.3,62.0,6.27,5.95,4.07,1.0])), 2810.445777777778)
(LabeledPoint(2760.0, (9,[0,1,2,3,4,5,6,7,8],[0.8,5.0,3.0,61.5,58.0,5.97,5.93,3.66,4.0])), 2377.504484848485)
(LabeledPoint(2760.0, (9,[0,1,2,3,4,5,6,7,8],[0.8,6.0,5.0,62.9,56.0,5.94,5.87,3.72,3.0])), 2569.96)
(LabeledPoint(2761.0, (9,[0,1,2,3,4,5,6,7,8],[0.8,3.0,4.0,61.4,57.0,5.96,6.0,3.67,3.0])), 2569.835092145464)
(LabeledPoint(2761.0, (9,[0,1,2,3,4,5,6,7,8],[0.74,2.0,4.0,62.2,56.0,5.8,5.84,3.62,3.0])), 2451.4917584780806)
(LabeledPoint(2762.0, (9,[0,1,2,3,4,5,6,7,8],[0.73,3.0,6.0,62.6,56.0,5.77,5.74,3.6,3.0])), 2786.4179999999997)
(LabeledPoint(2762.0, (9,[0,1,2,3,4,5,6,7,8],[0.71,4.0,6.0,62.4,54.0,5.72,5.76,3.58,3.0])), 2853.2666666666664)
(LabeledPoint(2762.0, (9,[0,1,2,3,4,5,6,7,8],[0.7,3.0,6.0,64.5,57.0,5.57,5.53,3.58,1.0])), 2374.74)
(LabeledPoint(2762.0, (9,[0,1,2,3,4,5,6,7,8],[0.7,3.0,6.0,65.3,55.0,5.63,5.58,3.66,1.0])), 2486.478666666667)
(LabeledPoint(2762.0, (9,[0,1,2,3,4,5,6,7,8],[0.7,3.0,6.0,61.6,60.0,5.65,5.59,3.46,4.0])), 2562.922285714286)
(LabeledPoint(2763.0, (9,[0,1,2,3,4,5,6,7,8],[0.91,5.0,4.0,64.4,57.0,6.11,6.09,3.93,1.0])), 3224.5226666666667)
(LabeledPoint(2764.0, (9,[0,1,2,3,4,5,6,7,8],[0.71,1.0,3.0,63.6,58.0,5.64,5.68,3.6,5.0])), 2578.250292397661)
(LabeledPoint(2765.0, (9,[0,1,2,3,4,5,6,7,8],[0.71,3.0,5.0,61.8,59.0,5.69,5.73,3.53,4.0])), 2857.027)
